gid,teacher,p,r_t,r_s,n,eta,M,seed,ckpt,rho2,L_late,L_V_opt,ratio,cm0,cm_mid,cm_end,mean_end,t_plateau,t_sat,gap_sat,d_mean_plat,d_min_plat,t50,s_band,tau_V_sq,diverged
R5,relu,100,8,30,15000,1.5,30,157,relu_p100_rt8_rs30_n15000_eta1.5_seed157.npz,0.9999999999245842,1.415202552771685,0.09517068084925545,14.870152657763155,7.123956646900589e-06,0.14670879057172964,0.7702708290531576,0.911215559895924,563.0,7540.0,15.199229276121997,0.4291624681770269,0.769453058050222,5140.0,0.0001939655172413793,0.2686550846417895,False
R5,relu,100,8,30,15000,1.5,30,163,relu_p100_rt8_rs30_n15000_eta1.5_seed163.npz,0.9999999999156758,1.4116254667586834,0.08512668503082277,16.582643459539867,0.0003389544856740178,0.36398056145075225,0.8389790050022637,0.9381053724339554,561.0,7140.0,16.88296608184942,0.438552889387105,0.8305825413234343,4380.0,0.0001584507042253521,0.2670410763888125,False
R5,relu,100,8,30,15000,1.5,30,167,relu_p100_rt8_rs30_n15000_eta1.5_seed167.npz,0.9999999999285185,1.4127775802637688,0.09540513543218337,14.80819217816645,0.00018336674277107925,0.518632681109556,0.854120379069106,0.9371450360357507,559.0,7180.0,14.808040627817837,0.3437748280361743,0.8314255727926131,3920.0,0.00025,0.24759014544083374,False
R5,relu,100,8,30,15000,1.5,30,173,relu_p100_rt8_rs30_n15000_eta1.5_seed173.npz,0.9999999999187902,1.4075608508794322,0.07900347221556836,17.81644289049437,0.001638602087267476,0.40805939303151106,0.8384284665813359,0.9338084768754702,543.0,7100.0,18.484046903890288,0.4048806212649869,0.8300252213392467,4320.0,0.0002777777777777778,0.21865285650586988,False
R5,relu,100,8,30,15000,1.5,30,179,relu_p100_rt8_rs30_n15000_eta1.5_seed179.npz,0.9999999999304579,1.4183062684567198,0.09276751561992068,15.288824530643742,0.0007980005003967557,0.001166669281033291,0.8377752846812805,0.9252602503731878,545.0,7400.0,15.640028423955291,0.45180659630337044,0.836304981672407,6060.0,0.0028125,0.28777689935882883,False
R5,relu,100,8,30,15000,1.5,30,181,relu_p100_rt8_rs30_n15000_eta1.5_seed181.npz,0.9999999999257644,1.4148766458289124,0.07561727828059278,18.711023168259697,0.0006624831601580799,0.7189385847668887,0.8950171104743897,0.941208118436073,571.0,6840.0,18.99651547981091,0.33962419371546515,0.8789006378198985,3180.0,0.00021226415094339622,0.22668602989260872,False
R5,relu,100,8,30,15000,1.5,30,191,relu_p100_rt8_rs30_n15000_eta1.5_seed191.npz,0.9999999999304097,1.4020886324031312,0.08840040080716434,15.860659223272437,0.0001449098458842599,0.6933587975361358,0.8689568473656248,0.9422953669657623,561.0,6880.0,16.029875844587735,0.322117333065156,0.8258370178695233,2820.0,0.0001730769230769231,0.26639890776773717,False
R5,relu,100,8,30,15000,1.5,30,193,relu_p100_rt8_rs30_n15000_eta1.5_seed193.npz,0.9999999999288486,1.4239862167694517,0.05089205194032897,27.980522743297488,0.0030457606710685486,0.5004229722062358,0.823411385067553,0.9231931160059954,575.0,7160.0,28.494172514045452,0.3914651415213225,0.8128920830144916,3980.0,0.0003515625,0.23580980668419502,False
R5,relu,100,8,30,15000,1.5,30,197,relu_p100_rt8_rs30_n15000_eta1.5_seed197.npz,0.9999999999213376,1.4090349806026587,0.0772709246273514,18.234995729608574,0.0002979499428857287,0.09159194043374677,0.8217905450430464,0.9246325025474835,566.0,7800.0,18.335386283134508,0.44208215111821286,0.8216917569887952,5740.0,0.00016917293233082708,0.22304046779269127,False
R5,relu,100,8,30,15000,1.5,30,199,relu_p100_rt8_rs30_n15000_eta1.5_seed199.npz,0.9999999999204374,1.4122268860436136,0.10915471692069378,12.937845710045359,0.0006377218895051595,0.5735736016998235,0.8260707219166535,0.9337514233932233,581.0,6860.0,13.211364562564013,0.4271900120374561,0.8252914157662695,3420.0,0.00046875000000000004,0.29835293381185135,False
