label,act,r_t,x,seed,change,secant,peak
ReLU rt16 e2.0,relu,16,0.32,223,0.02236696402139172,5.59174100534793e-06,0.0003851957519410866
ReLU rt16 e2.0,relu,16,0.32,227,0.006162770765525391,1.5406926913813478e-06,1.6424253244457225e-05
ReLU rt16 e2.0,relu,16,0.32,229,-0.0007448364146398843,-1.8620910365997107e-07,1.847925090114394e-05
ReLU rt16 e2.0,relu,16,0.32,233,0.11238059849703386,2.8095149624258463e-05,0.0001245394804864773
ReLU rt16 e2.0,relu,16,0.32,239,0.0033701993396078435,8.425498349019608e-07,1.2655028323411177e-05
ReLU rt16 e2.0,relu,16,0.32,241,0.011011253222138799,2.7528133055346997e-06,4.937764633452077e-05
ReLU rt16 e2.0,relu,16,0.32,251,0.007149975090596113,1.7874937726490283e-06,1.749031289756499e-05
ReLU rt16 e2.0,relu,16,0.32,257,0.11474291398247914,2.8685728495619786e-05,0.00015525806886943776
ReLU rt16 e2.0,relu,16,0.32,263,0.05446250404605682,1.3615626011514205e-05,8.063276464931904e-05
ReLU rt16 e2.0,relu,16,0.32,269,0.10908676284524049,2.727169071131012e-05,7.496657773890705e-05
ReLU rt16 e2.0,relu,16,0.32,271,0.17461312497013926,4.365328124253481e-05,0.00017403757147178294
ReLU rt16 e2.0,relu,16,0.32,277,0.07569391627099116,1.892347906774779e-05,8.264884909910336e-05
ReLU rt16 e2.0,relu,16,0.32,281,0.044564886219760486,1.1141221554940122e-05,0.0002821923117900715
ReLU rt16 e2.0,relu,16,0.32,283,-0.000587045926420928,-1.46761481605232e-07,2.4568676726839502e-05
ReLU rt16 e2.0,relu,16,0.32,293,0.2560071517451177,6.400178793627941e-05,0.0002503249818628792
ReLU rt16 e2.0,relu,16,0.32,307,0.06672274059082757,1.6680685147706893e-05,7.691662589219612e-05
ReLU rt16 e2.0,relu,16,0.32,311,0.05025699168606787,1.2564247921516968e-05,0.00012538431393089788
ReLU rt16 e2.0,relu,16,0.32,313,0.05229307818674991,1.3073269546687477e-05,4.424406503958596e-05
GELU rt4 e0.7,gelu,4,0.08,5,0.0006606918814201501,1.6517297035503753e-07,0.001817666912671665
